Avg_a,Probability1,Avg_b,Probability2
194.836,0.00248139,194.313,0.00248139
195.642,0.004962779,195.159,0.004962779
196.143,0.007444169,195.473,0.007444169
197.024,0.009925558,196.544,0.009925558
197.241,0.012406948,196.573,0.012406948
197.558,0.014888337,196.784,0.014888337
197.621,0.017369727,196.796,0.017369727
198.273,0.019851117,197.27,0.019851117
198.56,0.022332506,197.312,0.022332506
198.989,0.024813896,197.41,0.024813896
199.178,0.027295285,197.513,0.027295285
199.244,0.029776675,197.642,0.029776675
199.386,0.032258065,198.736,0.032258065
199.796,0.034739454,200.138,0.034739454
199.86,0.037220844,200.371,0.037220844
200.441,0.039702233,200.493,0.039702233
201.21,0.042183623,200.555,0.042183623
201.827,0.044665012,200.84,0.044665012
202.929,0.047146402,201.244,0.047146402
211.324,0.049627792,202.46,0.049627792
213.994,0.052109181,213.411,0.052109181
214.232,0.054590571,213.621,0.054590571
214.265,0.05707196,213.818,0.05707196
214.354,0.05955335,214.009,0.05955335
214.472,0.062034739,214.175,0.062034739
214.513,0.064516129,214.204,0.064516129
214.515,0.066997519,214.278,0.066997519
214.583,0.069478908,214.476,0.069478908
214.635,0.071960298,214.559,0.071960298
214.656,0.074441687,214.671,0.074441687
214.712,0.076923077,214.683,0.076923077
214.821,0.079404467,214.707,0.079404467
214.852,0.081885856,214.713,0.081885856
214.866,0.084367246,214.781,0.084367246
214.938,0.086848635,214.832,0.086848635
215.02,0.089330025,214.877,0.089330025
215.067,0.091811414,214.963,0.091811414
215.132,0.094292804,214.983,0.094292804
215.179,0.096774194,214.989,0.096774194
215.182,0.099255583,214.991,0.099255583
215.188,0.101736973,214.995,0.101736973
215.206,0.104218362,215.072,0.104218362
215.265,0.106699752,215.093,0.106699752
215.272,0.109181141,215.099,0.109181141
215.324,0.111662531,215.129,0.111662531
215.324,0.114143921,215.135,0.114143921
215.351,0.11662531,215.17,0.11662531
215.399,0.1191067,215.178,0.1191067
215.399,0.121588089,215.187,0.121588089
215.44,0.124069479,215.208,0.124069479
215.531,0.126550868,215.212,0.126550868
215.532,0.129032258,215.219,0.129032258
215.555,0.131513648,215.22,0.131513648
215.558,0.133995037,215.355,0.133995037
215.563,0.136476427,215.371,0.136476427
215.574,0.138957816,215.377,0.138957816
215.603,0.141439206,215.486,0.141439206
215.643,0.143920596,215.494,0.143920596
215.694,0.146401985,215.502,0.146401985
215.765,0.148883375,215.509,0.148883375
215.803,0.151364764,215.534,0.151364764
215.85,0.153846154,215.536,0.153846154
215.87,0.156327543,215.541,0.156327543
215.901,0.158808933,215.542,0.158808933
215.912,0.161290323,215.548,0.161290323
215.916,0.163771712,215.568,0.163771712
215.94,0.166253102,215.571,0.166253102
215.947,0.168734491,215.66,0.168734491
216.008,0.171215881,215.716,0.171215881
216.027,0.17369727,215.729,0.17369727
216.048,0.17617866,215.729,0.17617866
216.072,0.17866005,215.744,0.17866005
216.093,0.181141439,215.796,0.181141439
216.1,0.183622829,215.797,0.183622829
216.146,0.186104218,215.83,0.186104218
216.147,0.188585608,215.838,0.188585608
216.179,0.191066998,215.874,0.191066998
216.182,0.193548387,215.876,0.193548387
216.195,0.196029777,215.928,0.196029777
216.201,0.198511166,215.964,0.198511166
216.202,0.200992556,215.978,0.200992556
216.231,0.203473945,215.999,0.203473945
216.251,0.205955335,216.011,0.205955335
216.282,0.208436725,216.031,0.208436725
216.288,0.210918114,216.066,0.210918114
216.41,0.213399504,216.097,0.213399504
216.459,0.215880893,216.113,0.215880893
216.46,0.218362283,216.115,0.218362283
216.472,0.220843672,216.139,0.220843672
216.513,0.223325062,216.159,0.223325062
216.55,0.225806452,216.178,0.225806452
216.554,0.228287841,216.182,0.228287841
216.577,0.230769231,216.202,0.230769231
216.608,0.23325062,216.21,0.23325062
216.609,0.23573201,216.228,0.23573201
216.651,0.2382134,216.243,0.2382134
216.696,0.240694789,216.254,0.240694789
216.701,0.243176179,216.28,0.243176179
216.73,0.245657568,216.286,0.245657568
216.737,0.248138958,216.343,0.248138958
216.746,0.250620347,216.344,0.250620347
216.83,0.253101737,216.35,0.253101737
216.853,0.255583127,216.352,0.255583127
216.872,0.258064516,216.362,0.258064516
216.875,0.260545906,216.386,0.260545906
216.907,0.263027295,216.406,0.263027295
216.928,0.265508685,216.412,0.265508685
216.965,0.267990074,216.415,0.267990074
216.987,0.270471464,216.429,0.270471464
217.019,0.272952854,216.451,0.272952854
217.028,0.275434243,216.476,0.275434243
217.038,0.277915633,216.52,0.277915633
217.063,0.280397022,216.543,0.280397022
217.082,0.282878412,216.546,0.282878412
217.091,0.285359801,216.547,0.285359801
217.114,0.287841191,216.55,0.287841191
217.159,0.290322581,216.629,0.290322581
217.16,0.29280397,216.632,0.29280397
217.17,0.29528536,216.655,0.29528536
