Avg_A,Probability,Avg_B,Probability
31.88,0.00248139,31.964,0.00248139
31.919,0.004962779,31.97,0.004962779
31.935,0.007444169,32.002,0.007444169
31.938,0.009925558,32.014,0.009925558
31.94,0.012406948,32.015,0.012406948
31.945,0.014888337,32.02,0.014888337
31.949,0.017369727,32.021,0.017369727
31.952,0.019851117,32.023,0.019851117
31.954,0.022332506,32.028,0.022332506
31.955,0.024813896,32.034,0.024813896
31.955,0.027295285,32.037,0.027295285
31.956,0.029776675,32.044,0.029776675
31.958,0.032258065,32.048,0.032258065
31.966,0.034739454,32.055,0.034739454
31.968,0.037220844,32.059,0.037220844
31.969,0.039702233,32.06,0.039702233
31.97,0.042183623,32.061,0.042183623
31.975,0.044665012,32.064,0.044665012
31.976,0.047146402,32.067,0.047146402
31.976,0.049627792,32.082,0.049627792
31.976,0.052109181,32.085,0.052109181
31.977,0.054590571,32.085,0.054590571
31.982,0.05707196,32.087,0.05707196
31.986,0.05955335,32.088,0.05955335
31.987,0.062034739,32.094,0.062034739
31.987,0.064516129,32.097,0.064516129
31.99,0.066997519,32.099,0.066997519
31.994,0.069478908,32.114,0.069478908
31.994,0.071960298,32.115,0.071960298
31.996,0.074441687,32.116,0.074441687
32.002,0.076923077,32.126,0.076923077
32.002,0.079404467,32.127,0.079404467
32.004,0.081885856,32.128,0.081885856
32.008,0.084367246,32.13,0.084367246
32.009,0.086848635,32.13,0.086848635
32.011,0.089330025,32.132,0.089330025
32.014,0.091811414,32.134,0.091811414
32.014,0.094292804,32.134,0.094292804
32.015,0.096774194,32.136,0.096774194
32.017,0.099255583,32.136,0.099255583
32.021,0.101736973,32.136,0.101736973
32.027,0.104218362,32.14,0.104218362
32.028,0.106699752,32.149,0.106699752
32.032,0.109181141,32.149,0.109181141
32.034,0.111662531,32.152,0.111662531
32.037,0.114143921,32.152,0.114143921
32.037,0.11662531,32.154,0.11662531
32.039,0.1191067,32.158,0.1191067
32.041,0.121588089,32.165,0.121588089
32.042,0.124069479,32.166,0.124069479
32.044,0.126550868,32.166,0.126550868
32.045,0.129032258,32.168,0.129032258
32.047,0.131513648,32.169,0.131513648
32.048,0.133995037,32.176,0.133995037
32.048,0.136476427,32.177,0.136476427
32.048,0.138957816,32.179,0.138957816
32.049,0.141439206,32.18,0.141439206
32.051,0.143920596,32.181,0.143920596
32.053,0.146401985,32.184,0.146401985
32.055,0.148883375,32.185,0.148883375
32.057,0.151364764,32.186,0.151364764
32.067,0.153846154,32.192,0.153846154
32.067,0.156327543,32.195,0.156327543
32.068,0.158808933,32.196,0.158808933
32.072,0.161290323,32.201,0.161290323
32.072,0.163771712,32.201,0.163771712
32.073,0.166253102,32.206,0.166253102
32.074,0.168734491,32.206,0.168734491
32.077,0.171215881,32.209,0.171215881
32.078,0.17369727,32.216,0.17369727
32.079,0.17617866,32.216,0.17617866
32.08,0.17866005,32.219,0.17866005
32.086,0.181141439,32.222,0.181141439
32.092,0.183622829,32.225,0.183622829
32.092,0.186104218,32.226,0.186104218
32.097,0.188585608,32.226,0.188585608
32.097,0.191066998,32.234,0.191066998
32.1,0.193548387,32.237,0.193548387
32.1,0.196029777,32.255,0.196029777
32.1,0.198511166,32.267,0.198511166
32.102,0.200992556,32.268,0.200992556
32.106,0.203473945,32.268,0.203473945
32.108,0.205955335,32.268,0.205955335
