Avg_A,Probability_1,Avg_B,Probability_2
123.511,0.00248139,123.564,0.00248139
123.521,0.004962779,123.569,0.004962779
123.526,0.007444169,123.57,0.007444169
123.528,0.009925558,123.571,0.009925558
123.53,0.012406948,123.573,0.012406948
123.531,0.014888337,123.573,0.014888337
123.531,0.017369727,123.575,0.017369727
123.531,0.019851117,123.575,0.019851117
123.532,0.022332506,123.575,0.022332506
123.532,0.024813896,123.575,0.024813896
123.533,0.027295285,123.577,0.027295285
123.533,0.029776675,123.577,0.029776675
123.533,0.032258065,123.577,0.032258065
123.533,0.034739454,123.578,0.034739454
123.534,0.037220844,123.578,0.037220844
123.534,0.039702233,123.579,0.039702233
123.534,0.042183623,123.58,0.042183623
123.534,0.044665012,123.58,0.044665012
123.535,0.047146402,123.581,0.047146402
123.535,0.049627792,123.582,0.049627792
123.536,0.052109181,123.582,0.052109181
123.536,0.054590571,123.583,0.054590571
123.537,0.05707196,123.584,0.05707196
123.537,0.05955335,123.584,0.05955335
123.537,0.062034739,123.584,0.062034739
123.537,0.064516129,123.585,0.064516129
123.537,0.066997519,123.585,0.066997519
123.537,0.069478908,123.586,0.069478908
123.538,0.071960298,123.586,0.071960298
123.538,0.074441687,123.586,0.074441687
123.538,0.076923077,123.586,0.076923077
123.539,0.079404467,123.586,0.079404467
123.539,0.081885856,123.586,0.081885856
123.539,0.084367246,123.587,0.084367246
123.54,0.086848635,123.587,0.086848635
123.54,0.089330025,123.587,0.089330025
123.541,0.091811414,123.587,0.091811414
123.541,0.094292804,123.588,0.094292804
123.541,0.096774194,123.588,0.096774194
123.541,0.099255583,123.588,0.099255583
123.542,0.101736973,123.589,0.101736973
123.542,0.104218362,123.589,0.104218362
123.542,0.106699752,123.59,0.106699752
123.542,0.109181141,123.59,0.109181141
123.542,0.111662531,123.59,0.111662531
123.543,0.114143921,123.59,0.114143921
123.543,0.11662531,123.59,0.11662531
123.543,0.1191067,123.59,0.1191067
123.543,0.121588089,123.591,0.121588089
123.543,0.124069479,123.591,0.124069479
123.544,0.126550868,123.591,0.126550868
123.544,0.129032258,123.591,0.129032258
123.544,0.131513648,123.592,0.131513648
123.544,0.133995037,123.592,0.133995037
123.544,0.136476427,123.592,0.136476427
123.545,0.138957816,123.592,0.138957816
123.545,0.141439206,123.592,0.141439206
123.545,0.143920596,123.593,0.143920596
123.545,0.146401985,123.593,0.146401985
123.545,0.148883375,123.593,0.148883375
123.546,0.151364764,123.593,0.151364764
123.546,0.153846154,123.593,0.153846154
123.546,0.156327543,123.593,0.156327543
123.546,0.158808933,123.593,0.158808933
123.546,0.161290323,123.593,0.161290323
123.546,0.163771712,123.593,0.163771712
123.546,0.166253102,123.593,0.166253102
123.546,0.168734491,123.593,0.168734491
123.547,0.171215881,123.593,0.171215881
123.547,0.17369727,123.594,0.17369727
123.547,0.17617866,123.594,0.17617866
123.547,0.17866005,123.594,0.17866005
123.548,0.181141439,123.594,0.181141439
123.548,0.183622829,123.594,0.183622829
123.548,0.186104218,123.594,0.186104218
123.548,0.188585608,123.594,0.188585608
123.549,0.191066998,123.595,0.191066998
123.549,0.193548387,123.595,0.193548387
123.549,0.196029777,123.595,0.196029777
123.55,0.198511166,123.595,0.198511166
123.55,0.200992556,123.595,0.200992556
123.55,0.203473945,123.595,0.203473945
123.55,0.205955335,123.595,0.205955335
123.55,0.208436725,123.595,0.208436725
123.55,0.210918114,123.596,0.210918114
123.55,0.213399504,123.596,0.213399504
123.551,0.215880893,123.596,0.215880893
123.551,0.218362283,123.596,0.218362283
123.551,0.220843672,123.597,0.220843672
123.551,0.223325062,123.598,0.223325062
123.551,0.225806452,123.598,0.225806452
123.552,0.228287841,123.598,0.228287841
123.552,0.230769231,123.598,0.230769231
123.552,0.23325062,123.598,0.23325062
123.552,0.23573201,123.598,0.23573201
123.553,0.2382134,123.598,0.2382134
123.553,0.240694789,123.598,0.240694789
123.553,0.243176179,123.598,0.243176179
123.553,0.245657568,123.598,0.245657568
123.553,0.248138958,123.598,0.248138958
123.553,0.250620347,123.599,0.250620347
123.553,0.253101737,123.599,0.253101737
123.553,0.255583127,123.599,0.255583127
123.553,0.258064516,123.599,0.258064516
123.554,0.260545906,123.599,0.260545906
123.554,0.263027295,123.599,0.263027295
123.554,0.265508685,123.6,0.265508685
123.554,0.267990074,123.6,0.267990074
123.554,0.270471464,123.6,0.270471464
123.554,0.272952854,123.6,0.272952854
123.554,0.275434243,123.6,0.275434243
123.555,0.277915633,123.601,0.277915633
123.555,0.280397022,123.601,0.280397022
123.555,0.282878412,123.601,0.282878412
123.555,0.285359801,123.601,0.285359801
123.555,0.287841191,123.601,0.287841191
123.555,0.290322581,123.601,0.290322581
123.555,0.29280397,123.601,0.29280397
123.555,0.29528536,123.602,0.29528536
123.555,0.297766749,123.602,0.297766749
123.555,0.300248139,123.602,0.300248139
123.555,0.302729529,123.602,0.302729529
123.555,0.305210918,123.602,0.305210918
123.555,0.307692308,123.603,0.307692308
123.555,0.310173697,123.603,0.310173697
123.555,0.312655087,123.603,0.312655087
123.555,0.315136476,123.603,0.315136476
123.556,0.317617866,123.603,0.317617866
123.556,0.320099256,123.603,0.320099256
123.556,0.322580645,123.603,0.322580645
123.556,0.325062035,123.603,0.325062035
123.556,0.327543424,123.604,0.327543424
123.556,0.330024814,123.604,0.330024814
123.556,0.332506203,123.604,0.332506203
123.556,0.334987593,123.604,0.334987593
123.556,0.337468983,123.604,0.337468983
123.557,0.339950372,123.605,0.339950372
123.557,0.342431762,123.605,0.342431762
123.557,0.344913151,123.605,0.344913151
123.557,0.347394541,123.605,0.347394541
123.557,0.349875931,123.605,0.349875931
123.557,0.35235732,123.606,0.35235732
123.557,0.35483871,123.606,0.35483871
123.557,0.357320099,123.606,0.357320099
123.557,0.359801489,123.606,0.359801489
123.558,0.362282878,123.606,0.362282878
123.558,0.364764268,123.606,0.364764268
123.559,0.367245658,123.606,0.367245658
123.559,0.369727047,123.607,0.369727047
123.559,0.372208437,123.607,0.372208437
123.559,0.374689826,123.607,0.374689826
123.559,0.377171216,123.607,0.377171216
123.559,0.379652605,123.607,0.379652605
123.559,0.382133995,123.607,0.382133995
123.56,0.384615385,123.607,0.384615385
123.56,0.387096774,123.608,0.387096774
123.56,0.389578164,123.608,0.389578164
123.56,0.392059553,123.608,0.392059553
123.56,0.394540943,123.608,0.394540943
123.561,0.397022333,123.608,0.397022333
123.561,0.399503722,123.608,0.399503722
123.561,0.401985112,123.609,0.401985112
123.561,0.404466501,123.609,0.404466501
123.561,0.406947891,123.609,0.406947891
123.562,0.40942928,123.609,0.40942928
123.562,0.41191067,123.609,0.41191067
123.563,0.41439206,123.61,0.41439206
123.563,0.416873449,123.61,0.416873449
123.563,0.419354839,123.61,0.419354839
123.563,0.421836228,123.61,0.421836228
123.563,0.424317618,123.61,0.424317618
123.563,0.426799007,123.611,0.426799007
123.564,0.429280397,123.611,0.429280397
123.564,0.431761787,123.611,0.431761787
123.564,0.434243176,123.611,0.434243176
123.564,0.436724566,123.611,0.436724566
123.564,0.439205955,123.612,0.439205955
123.564,0.441687345,123.612,0.441687345
123.565,0.444168734,123.612,0.444168734
123.565,0.446650124,123.612,0.446650124
123.565,0.449131514,123.612,0.449131514
123.565,0.451612903,123.612,0.451612903
123.565,0.454094293,123.612,0.454094293
123.565,0.456575682,123.613,0.456575682
123.566,0.459057072,123.613,0.459057072
123.566,0.461538462,123.613,0.461538462
123.566,0.464019851,123.613,0.464019851
123.566,0.466501241,123.613,0.466501241
123.566,0.46898263,123.614,0.46898263
123.566,0.47146402,123.614,0.47146402
123.567,0.473945409,123.615,0.473945409
123.567,0.476426799,123.615,0.476426799
123.567,0.478908189,123.615,0.478908189
123.567,0.481389578,123.615,0.481389578
123.567,0.483870968,123.616,0.483870968
123.567,0.486352357,123.616,0.486352357
123.567,0.488833747,123.616,0.488833747
123.568,0.491315136,123.617,0.491315136
123.568,0.493796526,123.617,0.493796526
123.568,0.496277916,123.617,0.496277916
123.568,0.498759305,123.617,0.498759305
123.568,0.501240695,123.617,0.501240695
123.568,0.503722084,123.617,0.503722084
123.569,0.506203474,123.617,0.506203474
123.569,0.508684864,123.618,0.508684864
123.569,0.511166253,123.618,0.511166253
123.569,0.513647643,123.618,0.513647643
123.569,0.516129032,123.619,0.516129032
123.57,0.518610422,123.619,0.518610422
123.57,0.521091811,123.619,0.521091811
123.57,0.523573201,123.619,0.523573201
123.57,0.526054591,123.619,0.526054591
123.57,0.52853598,123.62,0.52853598
123.57,0.53101737,123.621,0.53101737
123.571,0.533498759,123.621,0.533498759
123.571,0.535980149,123.621,0.535980149
123.571,0.538461538,123.622,0.538461538
123.571,0.540942928,123.622,0.540942928
123.571,0.543424318,123.622,0.543424318
123.571,0.545905707,123.622,0.545905707
123.571,0.548387097,123.622,0.548387097
123.571,0.550868486,123.623,0.550868486
123.572,0.553349876,123.623,0.553349876
123.572,0.555831266,123.623,0.555831266
123.572,0.558312655,123.623,0.558312655
123.572,0.560794045,123.623,0.560794045
123.572,0.563275434,123.623,0.563275434
123.572,0.565756824,123.624,0.565756824
123.572,0.568238213,123.624,0.568238213
123.573,0.570719603,123.624,0.570719603
123.573,0.573200993,123.625,0.573200993
123.573,0.575682382,123.625,0.575682382
123.573,0.578163772,123.625,0.578163772
123.574,0.580645161,123.625,0.580645161
123.574,0.583126551,123.626,0.583126551
123.574,0.58560794,123.626,0.58560794
123.574,0.58808933,123.626,0.58808933
123.574,0.59057072,123.626,0.59057072
123.574,0.593052109,123.627,0.593052109
123.575,0.595533499,123.627,0.595533499
123.575,0.598014888,123.627,0.598014888
123.575,0.600496278,123.628,0.600496278
123.575,0.602977667,123.628,0.602977667
123.575,0.605459057,123.628,0.605459057
123.575,0.607940447,123.628,0.607940447
123.575,0.610421836,123.629,0.610421836
123.575,0.612903226,123.63,0.612903226
123.575,0.615384615,123.63,0.615384615
123.575,0.617866005,123.631,0.617866005
123.576,0.620347395,123.631,0.620347395
123.576,0.622828784,123.632,0.622828784
123.576,0.625310174,123.632,0.625310174
123.576,0.627791563,123.632,0.627791563
123.576,0.630272953,123.632,0.630272953
123.577,0.632754342,123.633,0.632754342
123.577,0.635235732,123.633,0.635235732
123.577,0.637717122,123.634,0.637717122
123.577,0.640198511,123.634,0.640198511
123.577,0.642679901,123.635,0.642679901
123.577,0.64516129,123.635,0.64516129
123.578,0.64764268,123.635,0.64764268
123.578,0.650124069,123.635,0.650124069
123.578,0.652605459,123.636,0.652605459
123.578,0.655086849,123.636,0.655086849
123.578,0.657568238,123.636,0.657568238
123.578,0.660049628,123.636,0.660049628
123.578,0.662531017,123.636,0.662531017
123.579,0.665012407,123.636,0.665012407
123.58,0.667493797,123.637,0.667493797
123.58,0.669975186,123.637,0.669975186
123.58,0.672456576,123.637,0.672456576
123.581,0.674937965,123.637,0.674937965
123.581,0.677419355,123.638,0.677419355
123.581,0.679900744,123.638,0.679900744
123.581,0.682382134,123.638,0.682382134
123.582,0.684863524,123.638,0.684863524
123.582,0.687344913,123.639,0.687344913
123.583,0.689826303,123.639,0.689826303
123.583,0.692307692,123.639,0.692307692
123.583,0.694789082,123.639,0.694789082
123.583,0.697270471,123.64,0.697270471
123.584,0.699751861,123.641,0.699751861
123.584,0.702233251,123.642,0.702233251
123.585,0.70471464,123.642,0.70471464
123.585,0.70719603,123.643,0.70719603
123.585,0.709677419,123.643,0.709677419
123.587,0.712158809,123.644,0.712158809
123.587,0.714640199,123.644,0.714640199
123.587,0.717121588,123.644,0.717121588
123.587,0.719602978,123.644,0.719602978
123.587,0.722084367,123.645,0.722084367
123.587,0.724565757,123.646,0.724565757
123.587,0.727047146,123.646,0.727047146
123.588,0.729528536,123.649,0.729528536
123.588,0.732009926,123.649,0.732009926
123.588,0.734491315,123.65,0.734491315
123.589,0.736972705,123.651,0.736972705
123.589,0.739454094,123.652,0.739454094
123.589,0.741935484,123.652,0.741935484
123.589,0.744416873,123.652,0.744416873
123.59,0.746898263,123.653,0.746898263
123.591,0.749379653,123.653,0.749379653
123.591,0.751861042,123.653,0.751861042
123.591,0.754342432,123.654,0.754342432
123.592,0.756823821,123.654,0.756823821
123.592,0.759305211,123.655,0.759305211
123.592,0.7617866,123.655,0.7617866
123.592,0.76426799,123.655,0.76426799
123.593,0.76674938,123.655,0.76674938
123.593,0.769230769,123.656,0.769230769
123.593,0.771712159,123.656,0.771712159
123.593,0.774193548,123.656,0.774193548
123.595,0.776674938,123.657,0.776674938
123.596,0.779156328,123.657,0.779156328
123.596,0.781637717,123.657,0.781637717
123.597,0.784119107,123.658,0.784119107
123.597,0.786600496,123.659,0.786600496
123.597,0.789081886,123.659,0.789081886
123.597,0.791563275,123.659,0.791563275
123.597,0.794044665,123.659,0.794044665
123.598,0.796526055,123.66,0.796526055
123.598,0.799007444,123.661,0.799007444
123.598,0.801488834,123.661,0.801488834
123.598,0.803970223,123.662,0.803970223
123.598,0.806451613,123.662,0.806451613
123.598,0.808933002,123.663,0.808933002
123.598,0.811414392,123.664,0.811414392
123.599,0.813895782,123.664,0.813895782
123.599,0.816377171,123.664,0.816377171
123.6,0.818858561,123.664,0.818858561
123.6,0.82133995,123.665,0.82133995
123.6,0.82382134,123.666,0.82382134
123.601,0.82630273,123.666,0.82630273
123.602,0.828784119,123.668,0.828784119
123.602,0.831265509,123.669,0.831265509
123.603,0.833746898,123.669,0.833746898
123.604,0.836228288,123.671,0.836228288
123.604,0.838709677,123.671,0.838709677
123.604,0.841191067,123.671,0.841191067
123.605,0.843672457,123.671,0.843672457
123.607,0.846153846,123.672,0.846153846
123.607,0.848635236,123.673,0.848635236
