Packet Loss,Probability,Packet Loss,Probability
0%,0.00248139,0%,0.00248139
0%,0.004962779,0%,0.004962779
0%,0.007444169,0%,0.007444169
0%,0.009925558,0%,0.009925558
0%,0.012406948,0%,0.012406948
0%,0.014888337,0%,0.014888337
0%,0.017369727,0%,0.017369727
0%,0.019851117,0%,0.019851117
0%,0.022332506,0%,0.022332506
0%,0.024813896,0%,0.024813896
0%,0.027295285,0%,0.027295285
0%,0.029776675,0%,0.029776675
0%,0.032258065,0%,0.032258065
0%,0.034739454,0%,0.034739454
0%,0.037220844,0%,0.037220844
0%,0.039702233,0%,0.039702233
0%,0.042183623,0%,0.042183623
0%,0.044665012,0%,0.044665012
0%,0.047146402,0%,0.047146402
0%,0.049627792,0%,0.049627792
0%,0.052109181,0%,0.052109181
0%,0.054590571,0%,0.054590571
0%,0.05707196,0%,0.05707196
0%,0.05955335,0%,0.05955335
0%,0.062034739,0%,0.062034739
0%,0.064516129,0%,0.064516129
0%,0.066997519,0%,0.066997519
0%,0.069478908,0%,0.069478908
0%,0.071960298,0%,0.071960298
0%,0.074441687,0%,0.074441687
0%,0.076923077,0%,0.076923077
0%,0.079404467,0%,0.079404467
0%,0.081885856,0%,0.081885856
0%,0.084367246,0%,0.084367246
0%,0.086848635,0%,0.086848635
0%,0.089330025,0%,0.089330025
0%,0.091811414,0%,0.091811414
0%,0.094292804,0%,0.094292804
0%,0.096774194,0%,0.096774194
0%,0.099255583,0%,0.099255583
0%,0.101736973,0%,0.101736973
0%,0.104218362,0%,0.104218362
0%,0.106699752,0%,0.106699752
0%,0.109181141,0%,0.109181141
0%,0.111662531,0%,0.111662531
0%,0.114143921,0%,0.114143921
0%,0.11662531,0%,0.11662531
0%,0.1191067,0%,0.1191067
0%,0.121588089,0%,0.121588089
0%,0.124069479,0%,0.124069479
0%,0.126550868,0%,0.126550868
0%,0.129032258,0%,0.129032258
0%,0.131513648,0%,0.131513648
0%,0.133995037,0%,0.133995037
0%,0.136476427,0%,0.136476427
0%,0.138957816,0%,0.138957816
0%,0.141439206,0%,0.141439206
0%,0.143920596,0%,0.143920596
0%,0.146401985,0%,0.146401985
0%,0.148883375,0%,0.148883375
0%,0.151364764,0%,0.151364764
0%,0.153846154,0%,0.153846154
0%,0.156327543,0%,0.156327543
0%,0.158808933,0%,0.158808933
0%,0.161290323,0%,0.161290323
0%,0.163771712,0%,0.163771712
