Date,Packet Loss,Min,Avg,Max,Standard_Deviation
4/22/2017,0%,190.765,199.386,229.427,9.6
4/22/2017,0%,190.905,201.21,216.442,6.597
4/22/2017,0%,190.731,196.143,209.338,5.565
4/22/2017,0%,191.066,199.796,215.16,7.432
4/22/2017,0%,213.136,224.499,247.378,8.622
4/22/2017,0%,213.079,217.393,236.375,6.123
4/22/2017,0%,213.265,220.66,249.56,8.788
4/22/2017,0%,213.363,220.144,247.614,9.709
4/22/2017,0%,213.078,219.737,239.261,7.822
4/22/2017,0%,213.144,217.37,226.54,5.017
4/22/2017,0%,213.157,216.1,228.114,3.957
4/22/2017,0%,213.256,218.357,236.179,6.056
4/22/2017,0%,213.33,222.385,263.002,10.764
4/22/2017,0%,213.172,217.961,242.799,6.835
4/22/2017,0%,212.866,214.821,223.247,2.788
4/22/2017,0%,213.098,217.082,225.86,4.105
4/22/2017,0%,213.577,217.483,234.513,5.108
4/23/2017,0%,212.926,226.168,276.723,16.888
4/23/2017,0%,213.2,216.093,227.581,3.346
4/23/2017,0%,213.106,217.836,231.711,5.493
4/23/2017,0%,212.691,215.603,227.574,3.656
4/23/2017,0%,212.79,215.555,224.324,3.579
4/23/2017,0%,212.991,219.468,237.399,6.401
4/23/2017,0%,212.951,229.182,457.425,52.47
4/23/2017,0%,212.945,216.288,226.509,4.712
4/23/2017,0%,212.587,215.916,226.943,3.72
4/23/2017,0%,212.716,216.008,224.362,3.886
4/23/2017,0%,213.23,220.14,238.927,7.86
4/23/2017,0%,213.595,223.953,243.59,6.92
4/23/2017,0%,212.784,223.579,243.422,9.006
4/23/2017,0%,212.971,218.033,241.035,7.478
4/23/2017,0%,212.757,214.515,223.107,2.494
4/23/2017,0%,213.269,222.642,235.945,6.693
4/23/2017,0%,213.084,218.376,227.144,4.652
4/23/2017,0%,213.125,221.449,239.221,7.209
4/23/2017,0%,212.639,217.666,248.311,8.078
4/23/2017,0%,212.783,216.146,227.938,4.086
4/23/2017,0%,213.052,216.907,227.708,4.272
4/23/2017,0%,213.051,218.195,241.254,6.703
4/23/2017,0%,212.893,215.182,221.926,2.594
4/23/2017,0%,212.968,215.067,223.103,2.998
4/24/2017,0%,212.989,218.583,234.59,5.834
4/24/2017,0%,212.729,215.85,226.943,3.577
4/24/2017,0%,212.637,220.716,251.69,9.496
4/24/2017,0%,213.187,218.225,251.12,8.399
4/24/2017,0%,213.263,217.453,227.345,4.456
4/24/2017,0%,212.724,214.938,224.383,3.113
4/24/2017,0%,214.394,224.771,246.876,9.326
4/24/2017,0%,212.998,226.393,260.591,13.587
4/24/2017,0%,214.972,234.704,335.868,29.048
4/24/2017,0%,213.572,240.582,377.747,46.699
4/24/2017,0%,215.439,229.885,299.843,18.482
4/24/2017,0%,213.045,229.552,332.163,27.482
4/24/2017,0%,215.256,247.093,630.734,89.933
4/24/2017,0%,212.787,232.417,378.306,34.694
4/24/2017,0%,214.225,245.998,382.68,44.024
4/24/2017,0%,214.405,233.889,414.243,41.988
4/24/2017,0%,213.189,227.857,302.034,19.363
4/24/2017,0%,213.207,225.993,244.812,8.489
4/24/2017,0%,214.32,226.026,267.939,11.835
4/24/2017,0%,213.409,230.659,322.48,25.611
4/24/2017,0%,213.41,243.701,398.217,56.007
4/24/2017,0%,213.47,226.494,326.414,24.664
4/24/2017,0%,213.041,220.465,235.712,6.827
4/24/2017,0%,212.852,218.786,253.868,10.447
4/25/2017,0%,212.74,220.769,311.078,21.202
4/25/2017,0%,215.072,236.726,353.171,39.029
4/25/2017,0%,216.65,238.423,374.666,33.921
4/25/2017,0%,213.246,224.602,243.776,9.513
4/25/2017,0%,212.878,218.625,229.421,5.697
4/25/2017,0%,212.552,215.265,222.174,2.897
4/25/2017,0%,212.998,228.182,256.663,11.884
4/25/2017,0%,213.018,217.527,229.499,5.472
4/25/2017,0%,213.033,217.16,227.525,4.346
4/25/2017,0%,212.967,215.694,224.892,3.277
4/25/2017,0%,213.022,244.746,417.611,57.623
4/25/2017,0%,214.824,224.854,239.687,7.829
4/25/2017,0%,213.91,227.864,243.295,9.4
4/25/2017,0%,218.031,229.563,244.765,6.958
4/25/2017,0%,212.936,217.367,228.694,4.852
4/25/2017,0%,212.852,224.003,248.692,10.733
4/25/2017,0%,213.038,216.875,229.13,3.993
4/19/2017,0%,190.768,199.244,219.589,8.874
4/19/2017,0%,190.684,202.929,220.704,9.308
4/19/2017,0%,190.672,198.273,220.833,6.935
4/19/2017,0%,191.593,199.178,220.408,8.722
4/19/2017,0%,213.348,220.915,245.71,7.93
4/19/2017,0%,213.189,217.028,234.67,5.816
4/19/2017,0%,213.075,213.994,218.24,1.402
4/19/2017,0%,213.348,224.706,266.222,14.378
4/19/2017,0%,213.885,220.958,237.037,5.448
4/19/2017,0%,214.792,324.667,777.972,162.547
4/19/2017,0%,213.089,218.301,232.449,5.588
4/19/2017,0%,213.135,216.513,226.745,4.089
4/19/2017,0%,213.129,216.965,230.08,4.305
4/19/2017,0%,213.112,218.677,226.495,4.555
4/19/2017,0%,213.114,218.199,229.176,4.729
4/19/2017,0%,213.01,216.737,238.598,6.101
4/19/2017,0%,213.105,219.929,230.118,5.489
4/20/2017,0%,213.172,216.251,225.51,3.714
4/20/2017,0%,212.874,218.544,239.036,5.662
4/20/2017,0%,213.583,221.787,236.43,6.073
4/20/2017,0%,213.125,223.137,246.008,9.33
4/20/2017,0%,212.762,216.195,225.925,4.163
4/20/2017,0%,213.328,221.567,247.615,9.187
4/20/2017,0%,213.931,221.753,238.751,8.732
4/20/2017,0%,212.757,223.997,235.175,6.659
4/20/2017,0%,213.157,223.61,243.905,8.251
4/20/2017,0%,213.808,222.299,236.396,6.948
4/20/2017,0%,213.624,223.351,241.7,6.796
4/20/2017,0%,214.007,263.08,526.193,80.164
4/20/2017,0%,213.577,216.853,228.609,3.781
4/20/2017,0%,212.781,218.585,229.959,5.637
4/20/2017,0%,213.183,221.147,239.229,7.306
4/20/2017,0%,212.857,215.947,222.382,2.912
4/20/2017,0%,212.866,220.536,247.228,8.439
4/20/2017,0%,213.011,216.027,226.023,3.617
4/20/2017,0%,212.965,214.513,220.056,2.045
4/20/2017,0%,212.711,217.429,230.968,6.072
4/20/2017,0%,212.947,216.048,226.46,3.882
4/20/2017,0%,212.814,215.558,223.44,3.105
4/20/2017,0%,212.935,215.563,222.206,2.994
4/21/2017,0%,212.715,214.852,224.298,3.017
4/21/2017,0%,212.882,216.872,228.306,5.234
4/21/2017,0%,212.87,220.577,239.008,7.943
4/21/2017,0%,212.914,217.091,226.668,4.618
4/21/2017,0%,214.253,220.276,231.334,5.996
4/21/2017,0%,212.976,215.532,224.135,3.16
4/21/2017,0%,215.35,239.135,430.461,46.571
4/21/2017,0%,214.997,229.806,276.493,14.169
4/21/2017,0%,214.283,225.597,269.965,11.683
4/21/2017,0%,215.719,242.544,311.106,32.964
4/21/2017,0%,216.578,238.927,479.592,56.012
4/21/2017,0%,214.839,230.428,321.154,25.363
4/21/2017,0%,214.81,228.099,245.705,7.25
4/21/2017,0%,213.323,232.41,318.722,26.724
4/21/2017,0%,213.997,235.632,320.087,31.672
4/21/2017,0%,213.033,251.072,409.078,56.736
4/21/2017,0%,213.871,229.314,346.162,27.774
4/21/2017,0%,214.165,224.462,236.502,6.241
4/21/2017,0%,213.009,222.826,242.394,7.739
