Date,Packet Loss,Min,Avg,Max,Standard_Deviation
4/22/2017,0%,179.573,180.554,185.91,1.449
4/22/2017,0%,179.627,181.369,189.691,2.946
4/22/2017,0%,179.605,180.104,183.768,0.961
4/22/2017,0%,179.546,179.892,180.674,0.525
4/22/2017,0%,179.611,180.592,184.876,1.476
4/22/2017,0%,179.567,181.616,191.209,3.193
4/22/2017,0%,179.711,182.303,192.827,3.782
4/22/2017,0%,179.741,180.447,185.607,1.284
4/22/2017,0%,179.543,180.43,187.553,1.921
4/22/2017,0%,179.556,179.814,180.623,0.504
4/22/2017,0%,179.548,180.275,182.29,0.869
4/22/2017,0%,179.509,179.759,180.598,0.624
4/22/2017,0%,179.968,227.959,322.762,53.584
4/22/2017,0%,179.487,260.944,413.635,69.308
4/22/2017,0%,179.566,208.881,308.485,38.02
4/22/2017,0%,183.876,286.67,391.516,59.832
4/22/2017,0%,179.572,228.288,314.514,43.382
4/23/2017,0%,179.691,225.254,331.71,50.335
4/23/2017,0%,179.748,227.638,293.176,29.862
4/23/2017,0%,179.506,179.702,179.916,0.416
4/23/2017,0%,179.546,180.279,187.154,1.649
4/23/2017,0%,179.553,179.883,181.5,0.653
4/23/2017,0%,179.675,179.927,181.654,0.664
4/23/2017,0%,179.549,179.813,180.274,0.499
4/23/2017,0%,179.66,180.073,181.345,0.585
4/23/2017,0%,179.692,185.758,196.614,5.409
4/23/2017,0%,179.797,195.387,237.679,17.455
4/23/2017,0%,179.531,180.228,183.723,1.119
4/23/2017,0%,179.67,183.952,209.153,7.061
4/23/2017,0%,179.509,183.049,198.408,5.039
4/23/2017,0%,179.659,180.274,181.354,0.719
4/23/2017,0%,179.649,180.483,185.353,1.518
4/23/2017,0%,179.485,179.725,180.118,0.266
4/23/2017,0%,179.494,179.654,179.772,0.542
4/23/2017,0%,179.564,179.841,180.189,0.548
4/23/2017,0%,179.665,180.156,184.788,1.207
4/23/2017,0%,179.547,179.823,180.201,0.389
4/23/2017,0%,179.549,182.174,226.079,10.088
4/23/2017,0%,179.574,179.812,180.335,0.46
4/23/2017,0%,179.507,191.295,223.338,17.418
4/23/2017,0%,179.506,179.94,182.118,0.672
4/24/2017,0%,179.525,179.817,180.388,0.48
4/24/2017,0%,179.606,180.206,184.748,1.168
4/24/2017,0%,179.615,179.934,180.601,0.563
4/24/2017,0%,179.62,323.855,391.114,57.36
4/24/2017,0%,179.585,180.115,181.436,0.583
4/24/2017,0%,179.597,255.928,392.144,68.171
4/24/2017,0%,179.566,179.777,179.968,0.133
4/24/2017,0%,179.554,179.772,180.065,0.515
4/24/2017,0%,179.608,190.335,225.107,13.749
4/24/2017,0%,182.022,212.97,314.053,29.893
4/24/2017,0%,179.745,181.721,191.03,2.971
4/24/2017,0%,179.723,181.578,189.788,2.574
4/24/2017,0%,181.72,207.417,268.179,23.138
4/24/2017,0%,183.887,225.535,292.751,26.683
4/24/2017,0%,179.863,218.027,320.637,48.689
4/24/2017,0%,179.614,179.812,180.664,0.323
4/24/2017,0%,179.538,180.817,183.634,1.346
4/24/2017,0%,179.754,181.291,185.176,1.705
4/24/2017,0%,179.642,180.563,182.075,0.803
4/24/2017,0%,179.531,180.096,181.729,0.614
4/24/2017,0%,179.607,179.998,180.804,0.347
4/24/2017,0%,179.671,180.419,186.228,1.475
4/24/2017,0%,179.516,202.75,246.349,28.89
4/25/2017,0%,179.495,179.922,180.466,0.643
4/25/2017,0%,179.562,180.633,183.904,1.218
4/25/2017,0%,179.881,181.401,189.142,2.042
